key,summary,category,full_name,alert_warn_detail,alert_error_detail,acceptable,targeted,alert_warn_detail_cs,alert_error_detail_cs,acceptable_cs,targeted_cs,evaluate_type,format_type,is_species_specific,include_cumulative,alert_warn_name,alert_error_name,help_description
filtered_bcs_transcriptome_union,TRUE,Cell Calling,Estimated Number of Cells,"Ideal > 100. This usually indicates poor cell handling, poor library quality, or poor sequencing quality. Application performance is likely to be affected.",alert_warn_detail,0,100,"Estimated number of cells is expected to be > 100. This usually indicates poor cell handling, poor library quality, or poor sequencing quality. Application performance is likely to be affected.",alert_warn_detail_cs,acceptable,targeted,gt,int,FALSE,,Low Number of Cells Detected,No Cells Detected,The number of barcodes associated with at least one cell.
multi_transcriptome_total_raw_reads_per_filtered_bc,TRUE,Sensitivity,Mean Reads per Cell,,,,,,,,,,int,FALSE,,,,The total number of sequenced reads divided by the number of barcodes associated with cell-containing partitions.
filtered_bcs_median_unique_genes_detected,TRUE,Sensitivity,Median Genes per Cell,,,,,,,,,,int,TRUE,,,,The median number of genes detected per cell-associated barcode. Detection is defined as the presence of at least 1 UMI count.
total_reads,TRUE,Sequencing,Number of Reads,,,,,,,,,,int,FALSE,,,,Total number of read pairs that were assigned to this library in demultiplexing.
good_bc_frac,TRUE,Sequencing,Valid Barcodes,Ideal > 75%. This may indicate a quality issue with the Illumina I7 read for Single Cell 3' v1 or the R1 read for Single Cell 3' v2/v3 and Single Cell 5'. Application performance may be affected.,alert_warn_detail,0.5,0.75,alert_warn_detail,alert_warn_detail,acceptable,targeted,gt,percentage,FALSE,,Low Fraction Valid Barcodes,alert_warn_name,Fraction of reads with barcodes that match the whitelist after barcode correction.
good_umi_frac,TRUE,Sequencing,Valid UMIs,Ideal > 75%. This may indicate a quality issue with the Illumina R2 read for Single Cell 3' v1 or the R1 read for Single Cell 3' v2/v3 and Single Cell 5'. Application performance may be affected.,alert_warn_detail,0.5,0.75,alert_warn_detail,alert_warn_detail,acceptable,targeted,gt,percentage,FALSE,,Low Fraction Valid UMIs,alert_warn_name,Fraction of reads with valid UMIs; i.e. UMI sequences that do not contain Ns and that are not homopolymers.
reads_per_cell,TRUE,Sequencing,Mean Reads per Cell,,,,,,,,,,int,FALSE,,,,The total number of sequenced reads divided by the number of barcodes associated with cell-containing partitions.
multi_cdna_pcr_dupe_reads_frac,TRUE,Sequencing,Sequencing Saturation,,,,,,,,,,percentage,FALSE,,,,"The fraction of reads originating from an already-observed UMI. This is a function of library complexity and sequencing depth. More specifically, this is the fraction of confidently mapped, valid cell-barcode, valid UMI reads that had a non-unique (cell-barcode, UMI, gene). This metric was called 'cDNA PCR Duplication' in versions of Cell Ranger prior to 1.2."
bc_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in Barcode,"Fraction of cell barcode bases (Illumina I7 Read for Single Cell 3' v1, R1 for Single Cell 3' v2/v3 and Single Cell 5') with Q-score >= 30 should be above 55%. A lower fraction might indicate poor sequencing quality.",alert_warn_detail,0.45,0.55,alert_warn_detail,alert_warn_detail,acceptable,targeted,gt,percentage,FALSE,,Fraction of cell barcode bases with Q-score >= 30 is low,alert_warn_name,"Fraction of cell barcode bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator."
read_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in RNA Read,"Fraction of RNA read bases with Q-score >= 30 should be above 65%. A lower fraction might indicate poor sequencing quality. This is Read 1 for the Single Cell 3' v1 chemistry and Single Cell 5' paired end, Read 2 for the Single Cell 3' v2/v3 chemistry and Single Cell 5' R2-only)",alert_warn_detail,0.55,0.65,alert_warn_detail,alert_warn_detail,acceptable,targeted,gt,percentage,FALSE,,Fraction of RNA read bases with Q-score >= 30 is low,alert_warn_name,"Fraction of RNA read bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator. This is Read 1 for the Single Cell 3' v1 chemistry and Single Cell 5' paired end, Read 2 for the Single Cell 3' v2/v3 chemistry and Single Cell 5' R2-only)."
